"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","redlist","status","records","datasets","phylum","order","family","genus","species","class","ecoregion"
"110",447489,447489,447482,"Species","Gnathophis cinctus","(Garman, 1899)",271755,TRUE,"LC",1,1,"Chordata","Anguilliformes","Congridae","Gnathophis","Gnathophis cinctus","Actinopteri","Magdalena Transition"
"111",447566,447566,771462,"Genus","Gobiesox","Lacepède, 1800",158785,NA,NA,1,1,"Chordata","Gobiesociformes","Gobiesocidae","Gobiesox",NA,"Actinopteri","Magdalena Transition"
"112",447594,447594,447566,"Species","Gobiesox schultzi","Briggs, 1951",275680,TRUE,"LC",1,1,"Chordata","Gobiesociformes","Gobiesocidae","Gobiesox","Gobiesox schultzi","Actinopteri","Magdalena Transition"
"113",448441,448441,448432,"Species","Gorgasia punctata","Meek & Hildebrand, 1923",277882,TRUE,"LC",1,1,"Chordata","Anguilliformes","Congridae","Gorgasia","Gorgasia punctata","Actinopteri","Magdalena Transition"
"114",448800,448800,448799,"Species","Grampus griseus","(G. Cuvier, 1812)",137098,TRUE,"LC",7,4,"Chordata","Cetartiodactyla","Delphinidae","Grampus","Grampus griseus","Mammalia","Magdalena Transition"
"115",449604,449604,747330,"Species","Gymnothorax panamensis","(Steindachner, 1876)",271866,TRUE,"LC",1,1,"Chordata","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax panamensis","Actinopteri","Magdalena Transition"
"116",449644,449644,747330,"Species","Gymnothorax verrilli","(Jordan & Gilbert, 1883)",271892,TRUE,"LC",1,1,"Chordata","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax verrilli","Actinopteri","Magdalena Transition"
"117",449679,449679,747338,"Species","Gymnura marmorata","(Cooper, 1864)",271479,TRUE,"LC",19,2,"Chordata","Myliobatiformes","Gymnuridae","Gymnura","Gymnura marmorata","Elasmobranchii","Magdalena Transition"
"118",450014,450014,747416,"Species","Haemulopsis axillaris","(Steindachner, 1869)",280973,TRUE,"LC",15,3,"Chordata","Perciformes","Haemulidae","Haemulopsis","Haemulopsis axillaris","Actinopteri","Magdalena Transition"
"119",450376,450376,450360,"Species","Halichoeres chierchiae","Di Caporiacco, 1948",275756,TRUE,"LC",1,1,"Chordata","Perciformes","Labridae","Halichoeres","Halichoeres chierchiae","Actinopteri","Magdalena Transition"
"120",450384,450384,450360,"Species","Halichoeres dispilus","(Günther, 1864)",275763,TRUE,"LC",2,1,"Chordata","Perciformes","Labridae","Halichoeres","Halichoeres dispilus","Actinopteri","Magdalena Transition"
"121",452150,452150,452147,"Species","Helicocranchia pfefferi","Massy, 1907",139424,TRUE,"DD",3,1,"Mollusca","Oegopsida","Cranchiidae","Helicocranchia","Helicocranchia pfefferi","Cephalopoda","Magdalena Transition"
"122",452404,452404,452400,"Species","Hemicaranx leucurus","(Günther, 1864)",276353,TRUE,"LC",1,1,"Chordata","Perciformes","Carangidae","Hemicaranx","Hemicaranx leucurus","Actinopteri","Magdalena Transition"
"123",453438,453438,748072,"Species","Heterodontus mexicanus","Taylor & Castro-Aguirre, 1972",276697,TRUE,"DD",13,2,"Chordata","Heterodontiformes","Heterodontidae","Heterodontus","Heterodontus mexicanus","Elasmobranchii","Magdalena Transition"
"124",453782,453782,778122,"Genus","Hexacontium","Haeckel, 1881",345896,NA,NA,3,1,"Radiozoa","Spumellaria","Actinommidae","Hexacontium",NA,"Polycystina","Magdalena Transition"
"125",454195,454195,454194,"Species","Hippoglossina bollmani","Gilbert, 1890",275823,TRUE,"LC",2,1,"Chordata","Pleuronectiformes","Paralichthyidae","Hippoglossina","Hippoglossina bollmani","Actinopteri","Magdalena Transition"
