"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","species","redlist","status","gisd","ecoregion"
"2468",851332,851332,856267,"Subspecies","Dysichthys coracoideus coracoideus",NA,NA,1,1,"Chordata","Siluriformes","Aspredinidae","Dysichthys","Actinopterygii","Dysichthys coracoideus",NA,NA,NA,"Guianan"
"2469",851360,851360,747921,"Species","Hemigrammus microstomus",NA,NA,4,2,"Chordata","Characiformes","Characidae","Hemigrammus","Actinopterygii","Hemigrammus microstomus",NA,NA,NA,"Guianan"
"2470",851368,851368,741654,"Genus","Pseudopristella",NA,NA,2,2,"Chordata","Characiformes","Characidae","Pseudopristella","Actinopterygii",NA,NA,NA,NA,"Guianan"
"2471",851375,851375,854262,"Species","Acaronia nassa",NA,NA,22,2,"Chordata","Perciformes","Cichlidae","Acaronia","Actinopterygii","Acaronia nassa",NA,NA,NA,"Guianan"
"2472",851380,851380,739204,"Species","Astyanax leopoldi",NA,NA,2,1,"Chordata","Characiformes","Characidae","Astyanax","Actinopterygii","Astyanax leopoldi",NA,NA,NA,"Guianan"
"2473",851386,851386,750291,"Species","Loricariichthys maculatus",NA,NA,21,2,"Chordata","Siluriformes","Loricariidae","Loricariichthys","Actinopterygii","Loricariichthys maculatus",NA,NA,NA,"Guianan"
"2474",851397,851397,755561,"Species","Phenacogaster microstictus",NA,NA,38,2,"Chordata","Characiformes","Characidae","Phenacogaster","Actinopterygii","Phenacogaster microstictus",NA,NA,NA,"Guianan"
"2475",851401,851401,737473,"Species","Aequidens tetramerus",NA,NA,41,3,"Chordata","Perciformes","Cichlidae","Aequidens","Actinopterygii","Aequidens tetramerus",NA,NA,NA,"Guianan"
"2476",851407,851407,760148,"Species","Sternarchella sima",NA,NA,2,2,"Chordata","Gymnotiformes","Apteronotidae","Sternarchella","Actinopterygii","Sternarchella sima",NA,NA,NA,"Guianan"
"2477",851415,851415,747938,"Species","Hemiodus unimaculatus","(Bloch, 1794)",874259,98,3,"Chordata","Characiformes","Hemiodontidae","Hemiodus","Actinopteri","Hemiodus unimaculatus",NA,NA,NA,"Guianan"
"2478",851419,851419,856267,"Subspecies","Dysichthys coracoideus amaurus",NA,NA,1,1,"Chordata","Siluriformes","Aspredinidae","Dysichthys","Actinopterygii","Dysichthys coracoideus",NA,NA,NA,"Guianan"
"2479",851431,851431,744256,"Species","Deuterodon pinnatus",NA,NA,6,2,"Chordata","Characiformes","Characidae","Deuterodon","Actinopterygii","Deuterodon pinnatus",NA,NA,NA,"Guianan"
"2480",851440,851440,855615,"Species","Derhamia hoffmannorum",NA,NA,46,2,"Chordata","Characiformes","Lebiasinidae","Derhamia","Actinopterygii","Derhamia hoffmannorum",NA,NA,NA,"Guianan"
"2481",851476,851476,745027,"Species","Eigenmannia macrops",NA,NA,35,2,"Chordata","Gymnotiformes","Sternopygidae","Eigenmannia","Actinopterygii","Eigenmannia macrops",NA,NA,NA,"Guianan"
"2482",851482,851482,741661,"Species","Charax hemigrammus",NA,NA,7,2,"Chordata","Characiformes","Characidae","Charax","Actinopterygii","Charax hemigrammus",NA,NA,NA,"Guianan"
