"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","gisd","redlist","status","ecoregion"
"610",758282,758282,758283,"Genus","Rubrobacter",NA,559808,1,1,"Actinobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter",NA,"Actinobacteria",NA,NA,NA,"Rio de la Plata"
"611",758284,758284,737360,"Order","Rubrobacterales","(Stackebrandt, Rainey & Ward-Rainey, 1997) emend. Zhi, Li & Stackebrandt, 2009",559805,1,1,"Actinobacteria","Rubrobacterales",NA,NA,NA,"Actinobacteria",NA,NA,NA,"Rio de la Plata"
"612",758291,758291,742327,"Family","Ruminococcaceae",NA,570893,7,1,"Firmicutes","Clostridiales","Ruminococcaceae",NA,NA,"Clostridia",NA,NA,NA,"Rio de la Plata"
"613",758320,758320,665731,"Species","Sabellaria nanella","Chamberlin, 1919",331655,1,1,"Annelida","Sabellida","Sabellariidae","Sabellaria","Sabellaria nanella","Polychaeta",NA,NA,NA,"Rio de la Plata"
"614",758411,758411,816098,"Genus","Salinibacter","Anton, Oren, Benlloch, Rodriguez-Valera, Amann & Rossello-Mora, 2002",564118,2,1,"Bacteroidetes","Sphingobacteriales","Rhodothermaceae","Salinibacter",NA,"Sphingobacteria",NA,NA,NA,"Rio de la Plata"
"615",758466,758466,759705,"Family","Saprospiraceae",NA,564120,2,1,"Bacteroidetes","Sphingobacteriales","Saprospiraceae",NA,NA,"Sphingobacteria",NA,NA,NA,"Rio de la Plata"
"616",758970,758970,762644,"Genus","Selenomonas","von Prowazek, 1913",571511,1,1,"Firmicutes","Selenomonadales","Veillonellaceae","Selenomonas",NA,"Negativicutes",NA,NA,NA,"Rio de la Plata"
"617",759084,759084,748750,"Genus","Serinicoccus",NA,393929,1,1,"Actinobacteria","Actinomycetales","Intrasporangiaceae","Serinicoccus",NA,"Actinobacteria",NA,NA,NA,"Rio de la Plata"
"618",759112,759112,745262,"Genus","Serratia",NA,415973,1,1,"Proteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia",NA,"Gammaproteobacteria",NA,NA,NA,"Rio de la Plata"
"619",759184,759184,779212,"Genus","Shewanella",NA,393040,3,1,"Proteobacteria","Alteromonadales","Shewanellaceae","Shewanella",NA,"Gammaproteobacteria",NA,NA,NA,"Rio de la Plata"
"620",759271,759271,759272,"Genus","Simkania","Everett, Bush & Andersen, 1999",571456,1,1,"Chlamydiae","Chlamydiales","Simkaniaceae","Simkania",NA,"Chlamydiia",NA,NA,NA,"Rio de la Plata"
"621",759272,759272,741824,"Family","Simkaniaceae",NA,571455,3,1,"Chlamydiae","Chlamydiales","Simkaniaceae",NA,NA,"Chlamydiia",NA,NA,NA,"Rio de la Plata"
"622",759411,759411,758070,"Genus","Skermanella","Sly & Stackebrandt, 1999",571443,1,1,"Proteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella",NA,"Alphaproteobacteria",NA,NA,NA,"Rio de la Plata"
"623",759705,759705,816004,"Order","Sphingobacteriales",NA,564100,16,1,"Bacteroidetes","Sphingobacteriales",NA,NA,NA,"Sphingobacteria",NA,NA,NA,"Rio de la Plata"
"624",759707,759707,759708,"Genus","Sphingobium","Takeuchi, Hamana & Hiraishi, 2001",571470,2,1,"Proteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA,"Alphaproteobacteria",NA,NA,NA,"Rio de la Plata"
"625",759708,759708,759709,"Family","Sphingomonadaceae",NA,393074,3,1,"Proteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA,"Alphaproteobacteria",NA,NA,NA,"Rio de la Plata"
"626",759710,759710,759708,"Genus","Sphingomonas",NA,568285,5,1,"Proteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,"Alphaproteobacteria",NA,NA,NA,"Rio de la Plata"
"627",759711,759711,759708,"Genus","Sphingopyxis",NA,393999,1,1,"Proteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis",NA,"Alphaproteobacteria",NA,NA,NA,"Rio de la Plata"
"628",759789,759789,759790,"Genus","Spirochaeta",NA,566342,2,1,"Spirochaetes","Spirochaetales","Spirochaetaceae","Spirochaeta",NA,"Spirochaetes(Class)",NA,NA,NA,"Rio de la Plata"
