"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"4055",1018646,1018646,780178,"Species","Mioawateria extensa","(Dall, 1881)",722476,3,1,"Mollusca","Neogastropoda",NA,"Mioawateria","Mioawateria extensa","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4056",1018647,1018647,780178,"Species","Mioawateria malmii","(Dall, 1889)",722478,1,1,"Mollusca","Neogastropoda",NA,"Mioawateria","Mioawateria malmii","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4057",1018759,1018759,697808,"Subspecies","Haliotis pourtalesii aurantium","Simone, 1998",445347,4,1,"Mollusca",NA,"Haliotidae","Haliotis","Haliotis pourtalesii","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4058",1018895,1018895,1018892,"Species","Bullockus varai","(Bullock, 1970)",737986,2,1,"Mollusca","Neogastropoda","Fasciolariidae","Bullockus","Bullockus varai","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4059",1018969,1018969,474160,"Species","Mycale (Arenochalina) laxissima","(Duchassaing & Michelotti, 1864)",168561,1,1,"Porifera","Poecilosclerida","Mycalidae","Mycale","Mycale (Arenochalina) laxissima","Demospongiae",NA,NA,NA,NA,"Eastern Brazil"
"4060",1019136,1019136,769321,"Species","Hypsicomus torquatus","(Grube, 1877)",333661,1,1,"Annelida","Sabellida","Sabellidae","Hypsicomus","Hypsicomus torquatus","Polychaeta",NA,NA,NA,NA,"Eastern Brazil"
"4061",1019214,1035237,779053,"Species","Stenoplax (Stenoplax) marcusi","(Righi, 1971)",386077,5,1,"Mollusca","Chitonida","Ischnochitonidae","Stenoplax","Stenoplax (Stenoplax) marcusi","Polyplacophora",NA,NA,NA,NA,"Eastern Brazil"
"4062",1019342,1019342,637042,"Subspecies","Lagocephalus lagocephalus lagocephalus","(Linnaeus, 1758)",236493,1,1,"Chordata","Tetraodontiformes","Tetraodontidae","Lagocephalus","Lagocephalus lagocephalus","Actinopteri",NA,NA,NA,NA,"Eastern Brazil"
"4063",1019395,1019395,793476,"Species","Polygona devyanae","(Rios, Costa & Calvo, 1994)",739719,1,1,"Mollusca","Neogastropoda","Fasciolariidae","Polygona","Polygona devyanae","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4064",1019405,1019405,794036,"Species","Pustulatirus ogum","(Petuch, 1979)",722970,3,2,"Mollusca","Neogastropoda","Fasciolariidae","Pustulatirus","Pustulatirus ogum","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4065",1019436,1019436,772994,"Species","Propeleda platessa","(Dall, 1890)",506443,1,1,"Mollusca","Nuculanoida","Nuculanidae","Propeleda","Propeleda platessa","Bivalvia",NA,NA,NA,NA,"Eastern Brazil"
"4066",1019519,1019519,1019520,"Species","Archestenogramma brasiliense","(A.B.Joly) C.W.Schneider, Chengsupanimit & G.W.Saunders, 2011",626089,2,1,"Rhodophyta","Gigartinales","Phyllophoraceae","Archestenogramma","Archestenogramma brasiliense","Florideophyceae",NA,NA,NA,NA,"Eastern Brazil"
"4067",1019638,1019638,821079,"Species","Heliconoides inflatus","(d'Orbigny, 1834)",605965,14,1,"Mollusca","Thecosomata","Limacinidae","Heliconoides","Heliconoides inflatus","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4068",1019639,1019639,698302,"Species","Limatula regularis","Verrill & Bush, 1898",505612,6,1,"Mollusca","Limoida","Limidae","Limatula","Limatula regularis","Bivalvia",NA,NA,NA,NA,"Eastern Brazil"
"4069",1019709,1019709,821249,"Species","Leiosolenus patagonicus","(d'Orbigny, 1842)",506057,1,1,"Mollusca","Mytiloida","Mytilidae","Leiosolenus","Leiosolenus patagonicus","Bivalvia",NA,NA,NA,NA,"Eastern Brazil"
