"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","ecoregion"
"109",544457,544457,527988,"Species","Icasterias panopla","(Stuxberg, 1879)",123796,1,1,"Echinodermata","Forcipulatida","Asteriidae","Icasterias","Icasterias panopla","Asteroidea",NA,NA,"High Arctic Archipelago"
"110",556521,556521,510285,"Species","Similipecten greenlandicus","(G. B. Sowerby II, 1842)",181299,1,1,"Mollusca","Pectinoida","Propeamussiidae","Similipecten","Similipecten greenlandicus","Bivalvia",NA,NA,"High Arctic Archipelago"
"111",582056,582056,768434,"Species","Tachidius (Tachidius) discipes","Giesbrecht, 1881",116814,1,1,"Arthropoda","Harpacticoida","Tachidiidae","Tachidius","Tachidius (Tachidius) discipes",NA,NA,NA,"High Arctic Archipelago"
"112",587426,587426,739018,"Species","Astarte acuticostata","Friele, 1877",138816,1,1,"Mollusca","Carditoida","Astartidae","Astarte","Astarte acuticostata","Bivalvia",NA,NA,"High Arctic Archipelago"
"113",597930,597930,398468,"Species","Aeginopsis laurentii","Brandt, 1838",117265,51,2,"Cnidaria","Narcomedusae","Aeginidae","Aeginopsis","Aeginopsis laurentii","Hydrozoa",NA,NA,"High Arctic Archipelago"
"114",598219,598219,398853,"Species","Aglantha digitale","(O. F. Müller, 1776)",117849,53,2,"Cnidaria","Trachymedusae","Rhopalonematidae","Aglantha","Aglantha digitale","Hydrozoa",NA,NA,"High Arctic Archipelago"
"115",598237,598237,598231,"Species","Aglaophamus malmgreni","(Théel, 1879)",130344,1,1,"Annelida","Phyllodocida","Nephtyidae","Aglaophamus","Aglaophamus malmgreni","Polychaeta",NA,NA,"High Arctic Archipelago"
"116",598708,598708,399577,"Species","Allantactis parasitica","Danielssen, 1890",100933,1,1,"Cnidaria","Actiniaria","Hormathiidae","Allantactis","Allantactis parasitica","Anthozoa",NA,NA,"High Arctic Archipelago"
"117",604839,604839,767671,"Genus","Balanus","Costa, 1778",106122,2,1,"Arthropoda","Sessilia","Balanidae","Balanus",NA,NA,NA,NA,"High Arctic Archipelago"
"118",606796,606796,768967,"Species","Boreogadus saida","(Lepechin, 1774)",126433,20,2,"Chordata","Gadiformes","Gadidae","Boreogadus","Boreogadus saida","Actinopteri",NA,NA,"High Arctic Archipelago"
